category,name
Ferretería,Grapa cuadrada p/cable 5x9mmbolsa c/100 pz
Ferretería,Grapa curva p/cable 6mm blanca bolsa c/100 pz
Ferretería,Grapa curva p/cable 8mmblanca bolsa c/100 pz
Ferretería,Grapa Cable Coaxial  8 mm Blanco 20 Pz
Ferretería,"Tornillo Punta Broca # 8 x 1/2"""" Galv. x 100 Pz"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 3/4"""" Ne (B-100)"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 1"""" Ne (B-100)"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 1"""" 1/4"""" Ne (B-100)"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 1"""" 1/2"""" Ne (B-100)"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 2"""" Ne (B-100)"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 2"""" 1/2"""" Ne (B-100)"
Ferretería,"Tornillo Cabeza Plana Phillips 8 x 3"""" Ne (B-100)"
Ferretería,"Clavo Pulido c/Cabeza 2-1/2"""" - 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 1-1/2"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 2"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 2-1/2"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 3"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 4"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 1-1/2"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 2"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 2-1/2"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 3"""" x 25 kg"
Ferretería,"Clavo Pulido c/Cabeza 4"""" x 25 kg"
Ferretería,Candado 102 Gancho Largo
Ferretería,Candado 102 Gancho Largo
Ferretería,Candado Hierro 102 Caja
Ferretería,Candado Hierro 102 Caja
Ferretería,Candado Hierro 103 GL Caja
Ferretería,Candado Hierro 103 GL Caja
Ferretería,Candado Metálico 113 GL Caja
Ferretería,Candado Metálico 113 GL Caja
Ferretería,Candado Hierro 103 Caja
Ferretería,Candado Hierro 103 Caja
Ferretería,Candado Hierro 104 GL Caja
Ferretería,Candado Hierro 104 GL Caja
Ferretería,Candado Hierro 104 Caja
Ferretería,Candado Hierro 104 Caja
Ferretería,Candado Cortina 110 Hierro
Ferretería,Candado Cortina 110 Hierro
Ferretería,Candado hierro 30mm caja color
Ferretería,"Candado de cable espiral 3/8""""x 150 de combinación"
Ferretería,Portacandados de acero zincado1 3/4
Ferretería,Portacandados de acero zincado3 1/4
Ferretería,Candado Latonado 30 mm Gancho Corto
Ferretería,Candado Latonado 40 mm Gancho Corto
Ferretería,Candado Latonado 50 mm Gancho Corto
Ferretería,Candado Latonado 30 mm Gl
Ferretería,Candado Latonado 40 mm Gl
Ferretería,Candado Metálico De 30 mm Gancho Corto
Ferretería,Candado Metálico de 40 mm Gancho Corto
Ferretería,Candado Metálico de 30 mm Gl
Ferretería,Cerradura de Pomo Esfera Cilíndrico Cromo Mate
Ferretería,Embutir X - 1000 C Caja
Ferretería,Sobreponer Barra X - 900 F D Ac
Ferretería,Sobreponer Barra 800 F D Ac
Ferretería,Sobreponer Barra 800 L I Ac
Ferretería,Sobreponer As - 2000 If An E Caja
Ferretería,Aluminio 550 Abl Caja
Ferretería,Aluminio 550 An Caja
Ferretería,Sobreponer 715 D / If Abg Caja
Ferretería,Sobreponer 715 D / If Abg Caja
Ferretería,Sobreponer 715 I / If Abg Caja
Ferretería,Sobreponer 715 I / If Abg Caja
Ferretería,Sobreponer 715 D / Cl Abg Caja
Ferretería,Sobreponer 715 D / Cl Abg Caja
Ferretería,Sobreponer 715 I / Cl Abg Caja
Ferretería,Sobreponer 715 I / Cl Abg Caja
Ferretería,Cerradura de pomo esfera meccilíndrico latón antig p/rec
Ferretería,Guardapolvo p/puerta aluminio
Ferretería,Tope para puerta tipo codo latón
Ferretería,Cinta de montaje 1.5 mts x 19 mm blanca
Ferretería,Cinta p/Aislar Negra 9 m
Ferretería,Cinta p/Aislar Negra 18 m
Ferretería,Cinta empaque acrílico canela 40 m
Ferretería,179 Cinta Trasparente Industrial 48 mm x 50 m
Ferretería,Cinta Adhesiva Transparente 40 m
Ferretería,Cinta De Aislar Negra 19 mm x 18 m
Ferretería,Cinta De Aislar Negra 19 mm x 18 m
Ferretería,Cinta De Aislar Negra 19 mm x 18 m
Ferretería,Cinta De Aislar Negra 19 mm x 9 m
Ferretería,Cinta de aislar verde 19mmx18m
Ferretería,Cinta de aislar negra 19 mm x 9m
Ferretería,Cinta de aislar negra 19 mm x 18m
Ferretería,Cinta Aislante de PVC Negra 19 mm x 18 m
Ferretería,Cinta Aislante de PVC Negra 19 mm x 9 m
Ferretería,Cinta para Aislar Negra 18 m
Ferretería,Cinta para Aislar Negra 9 m
Ferretería,320 Cinta de Aislar Negra 19 mm x 18 m
Ferretería,Masking tape azul de 18mm
Ferretería,"Cinta Masking Tape 3/4"""" x 50 m"
Ferretería,Cinta Empaque Acrilíco Transparente 40 M
Ferretería,Cinta de Señalización Precaución 305 m
Ferretería,Cinta de amarre c/alma de acero 30 m c/cortador
Ferretería,"Cinta Sella Roscas Teflón 1/2"""" de 7 m"
Ferretería,"Cinta Sella Roscas Teflón 3/4"""" de 7 m"
Ferretería,Cinta de Teflón 13 x 260 Blanco
Ferretería,Cinta de Teflón 19 x 260 Blanco
Ferretería,"Cinta Sella Roscas 3/4"""" x 7 m Foy"
Ferretería,"Cinta Sella Roscas 1/2"""" x 7 m"
Ferretería,"Cinta 1/2"""" x 7 m Sella Roscas"
Ferretería,"Cinta 3/4"""" x 7 m Sella Roscas"
Ferretería,Cinta Doble Cara Gris 12 mm
Ferretería,Cinta Doble Cara Transparente 12 mm
Ferretería,Cinta doble cara gris 25mm
Ferretería,Cinta doble cara transp 25mm
Ferretería,Cinchos Plásticos 2.5 x 100 mm Neón Varios Colores 100 Pz
Ferretería,Abrazadera #10 de 3/4 a 1 1/16ancho 1/2 bolsa x10pz
Ferretería,Abrazadera #12 de 5/8 a 1 1/4ancho 1/2 bolsa x10pz
Ferretería,Abrazadera #16 de 3/4 a 1 1/2ancho 1/2 bolsa x10pz
Ferretería,Abrazadera #20 de 3/4 a 1 3/4ancho 1/2 bolsa x10pz
Ferretería,Abrazadera #4 de 3/8 a 5/8ancho 1/2 bolsa x10pz
Ferretería,Hilo P/Construcción 165 m
Ferretería,Hilo P/Construcción 65 m
Ferretería,"Perro Hierro Maleable 1/8"""""
Ferretería,Lona premium roja 4 x 5 m
Ferretería,Lona reforzada uso ligero4 x 5m gris
Ferretería,Tensores ajustables 24''amarillo juego 2pz
Ferretería,Tensores ajustables 48''rojo juego 2pz
Ferretería,Cinchos plásticos 2.5 x 100 mmcolor negro 100 pz
Ferretería,Cinchos plásticos 2.5 x 100 mmcolor natural 100 pz
Ferretería,Cinchos plásticos 3.6 x 150 mmcolor natural 100 pz
Ferretería,Cinchos plásticos 4.8 x 200 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 300 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 350 mmcolor negro 50 pz
Ferretería,Cinchos plásticos 4.8 x 350 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 450 mmcolor negro 50 pz
Ferretería,Cinchos plásticos 4.8 x 450 mmcolor natural 50 pz
Ferretería,Cinchos plásticos 4.8 x 500 mmcolor negro 50 pz
Ferretería,Bisagra Bidimensional 110° Cob Comp C/T (2Pz)
Ferretería,"Bisagra Larga Plana Latón Brillante 1.5"""""
Ferretería,"Bisagra Larga Plana Latón Brillante 2.5"""""
Ferretería,"Bisagra Larga Plana Latón Brillante 3"""""
Ferretería,"Bisagra Larga Plana Niquel Sat 1.5"""""
